sdoc,smail,snote,cdoc,cmail,cnote
561,135,59,205,183,174
246,128,57,228,193,178
233,117,94,223,193,320
489,121,59,217,175,191
214,134,59,216,249,316
264,109,58,221,194,253
220,111,58,229,199,325
311,126,65,230,201,186
454,108,59,231,292,275
299,149,67,220,203,216
216,121,66,256,191,287
233,189,68,220,197,184
210,114,62,204,204,189
245,127,131,225,197,348
215,215,60,245,210,243
