sdoc,smail,snote,cdoc,cmail,cnote
286,102,64,146,134,179
194,98,56,165,137,192
180,109,59,163,132,209
211,97,49,168,133,148
194,109,49,158,141,251
224,82,84,145,275,265
1200,254,58,170,134,161
167,101,63,168,143,165
171,95,56,148,133,200
162,87,54,158,128,267
198,95,79,163,131,127
321,89,52,161,134,264
168,180,62,136,148,152
192,100,71,165,134,135
170,89,53,162,129,213
