sdoc,smail,snote,cdoc,cmail,cnote
44,46,181,4,1,1
48,53,170,18,30,173
41,44,165,20,31,161
41,43,167,20,37,189
63,59,93,19,21,213
25,49,161,25,19,168
46,54,126,30,47,188
47,54,179,16,15,172
44,48,159,19,32,163
43,44,163,20,32,155
44,45,180,21,37,165
40,52,100,22,34,164
42,43,181,18,38,163
43,54,164,16,39,204
42,70,168,22,21,200
