sdoc,smail,snote,cdoc,cmail,cnote
60,48,229,83,230,2110
47,50,177,70,161,2312
45,50,177,85,224,2018
47,49,168,79,211,2121
43,48,166,93,217,2137
100,56,177,70,207,2125
43,98,181,81,209,2125
52,59,180,91,225,2140
42,50,159,75,209,2043
53,89,187,81,222,2152
48,63,191,106,229,2279
44,77,206,68,218,2085
40,48,229,73,209,2217
46,26,176,64,199,2085
48,43,185,75,208,2071
