sdoc,smail,snote,cdoc,cmail,cnote
13,14,12,15,13,9
11,18,17,14,16,11
13,15,13,12,12,14
13,17,14,14,14,11
14,27,15,15,16,9
11,15,18,17,13,10
12,19,15,13,15,11
17,15,13,108,7,10
16,16,15,14,7,10
12,15,13,17,13,12
13,16,14,22,13,10
11,16,11,16,12,5
12,18,25,13,18,11
14,20,14,13,6,10
13,16,14,18,7,11
