sdoc,smail,snote,cdoc,cmail,cnote
41,45,211,35,93,427
49,42,190,43,95,401
45,79,188,41,105,420
47,64,218,39,96,426
43,51,185,47,93,399
44,54,189,44,82,416
45,47,186,38,94,401
43,53,179,35,96,397
46,59,188,33,78,408
44,48,183,38,92,416
44,45,184,38,94,395
44,47,184,34,97,396
44,57,173,47,95,413
25,48,112,46,50,397
45,56,176,44,96,426
