sdoc,smail,snote,cdoc,cmail,cnote
39,54,158,30,32,462
43,41,171,23,61,453
44,47,166,23,45,443
43,47,165,31,45,452
24,44,169,30,48,453
44,91,163,19,48,472
45,48,128,23,41,450
44,44,171,25,52,425
42,53,170,27,32,473
42,44,161,33,46,448
42,47,163,29,42,437
43,45,166,19,49,447
46,65,168,26,59,490
43,45,99,20,47,454
48,57,88,26,65,477
