sdoc,smail,snote,cdoc,cmail,cnote
66,75,48,60,133,95
60,74,39,64,128,92
63,74,45,69,132,93
68,83,41,69,128,91
64,78,23,78,127,104
56,65,45,57,107,96
53,60,44,60,113,95
50,67,52,56,108,70
53,64,48,61,108,96
53,63,43,60,106,93
53,63,44,59,105,94
53,64,46,58,111,93
53,66,42,60,108,95
53,66,44,59,106,96
55,66,44,57,108,95
