sdoc,smail,snote,cdoc,cmail,cnote
31,50,38,32,76,58
34,54,28,57,80,53
31,42,31,34,60,50
31,45,28,33,60,50
32,40,30,33,62,50
34,47,33,35,59,52
29,44,17,32,72,45
30,46,31,32,59,51
30,42,33,32,62,52
30,43,29,32,60,53
29,41,28,33,59,50
29,42,27,36,60,51
32,45,40,35,64,53
31,45,33,41,62,54
31,44,58,34,36,57
