sdoc,smail,snote,cdoc,cmail,cnote
41,15,12,37,15,13
30,14,22,38,15,12
39,15,12,44,20,14
34,15,12,38,17,13
30,25,14,41,15,13
40,14,12,38,15,12
35,14,12,42,15,15
33,17,12,34,22,17
40,59,18,44,17,14
34,14,74,33,14,12
32,14,13,47,16,13
35,22,30,36,15,12
27,19,13,27,14,13
32,17,15,42,18,13
85,20,17,59,13,12
