sdoc,smail,snote,cdoc,cmail,cnote
133,55,22,102,63,53
127,43,24,114,66,53
110,44,25,145,63,52
133,47,23,94,60,56
103,47,25,109,59,56
106,52,25,95,62,55
123,65,22,104,66,59
100,49,22,134,70,55
112,44,25,115,63,58
109,54,24,95,65,76
117,43,24,87,69,53
99,40,28,107,57,55
100,76,29,96,66,62
113,49,26,138,66,74
101,45,22,101,58,53
