sdoc,smail,snote,cdoc,cmail,cnote
379,142,45,98,48,28
271,110,40,108,41,33
211,90,41,112,45,27
254,99,42,90,53,24
209,150,42,92,45,25
240,120,46,86,45,26
221,113,50,124,43,26
242,177,42,90,42,32
228,107,43,92,51,26
215,143,49,108,45,33
208,118,39,99,42,26
243,94,49,100,44,28
201,101,57,97,43,25
227,99,76,92,46,32
205,97,54,92,43,28
