sdoc,smail,snote,cdoc,cmail,cnote
53,53,37,33,69,47
58,58,33,43,64,45
46,53,40,41,46,24
47,33,44,37,51,12
47,54,35,36,45,30
45,37,34,37,44,24
46,57,56,35,44,28
45,55,39,36,45,29
51,60,38,39,51,25
50,63,33,38,44,25
46,57,35,35,43,25
47,57,34,34,49,27
54,56,37,36,49,28
56,58,39,37,56,29
50,72,40,35,55,30
