sdoc,smail,snote,cdoc,cmail,cnote
28,42,37,28,49,24
25,46,28,23,48,22
27,37,23,21,31,12
24,37,21,21,31,14
24,39,21,22,28,13
23,39,26,24,29,15
23,40,20,22,27,14
24,39,27,21,29,16
25,42,23,20,30,13
25,41,23,22,30,14
25,37,22,21,29,14
29,42,14,20,33,8
25,40,24,21,30,15
46,41,29,20,37,20
27,42,24,19,33,14
