sdoc,smail,snote,cdoc,cmail,cnote
660,178,78,70,99,98
546,197,49,81,80,55
636,164,60,83,99,69
573,173,58,88,80,59
548,207,63,70,70,50
610,179,51,69,67,174
522,178,55,86,91,58
547,162,33,90,87,30
542,191,38,89,76,58
517,189,52,88,89,58
518,172,37,84,100,29
653,173,73,73,76,60
563,174,55,80,81,60
568,208,218,83,77,63
549,182,60,90,76,55
