sdoc,smail,snote,cdoc,cmail,cnote
253,116,48,70,100,91
295,121,44,73,119,87
299,128,42,67,104,91
302,136,42,55,101,91
332,131,42,57,102,91
328,124,65,61,100,90
379,119,43,61,101,89
338,98,29,62,52,53
289,137,41,58,100,89
317,107,54,63,101,69
338,118,48,55,102,91
288,118,57,60,104,93
278,107,72,61,103,91
284,112,74,59,101,90
253,148,48,63,103,89
