sdoc,smail,snote,cdoc,cmail,cnote
886,547,70,197,273,179
847,257,60,190,265,206
833,280,60,180,259,217
832,294,62,197,211,223
884,271,64,198,239,205
854,276,55,210,270,209
829,266,58,209,220,212
908,259,92,185,236,217
815,248,62,202,243,212
824,233,58,241,249,207
806,220,57,193,232,203
803,249,61,190,233,253
815,239,63,187,260,209
999,377,64,231,260,215
830,273,67,191,240,199
